short_id,longitude_normalized,latitude_normalized
#aaa,3.416334661354577,3.0393198724760873
#aab,1.9223107569721056,5.377258235919236
#aac,4.561752988047811,2.019128586609987
#aad,2.440239043824692,5.217853347502659
#aae,6.5139442231075675,1.3708820403825703
#aaf,5.747011952191236,1.8172157279489907
#aag,5.836653386454187,1.774707757704571
#aah,5.3585657370517925,3.7407013815090346
#aai,6.4243027888446145,4.686503719447399
#aaj,7.121513944223104,1.2327311370882075
#aak,0.04980079681274621,9.883103081827842
#aal,2.330677290836644,6.174282678002125
#aam,5.488047808764936,1.72157279489904
#aan,4.0637450199203204,5.823591923485656
#aao,2.778884462151389,7.003188097768333
#aap,7.001992031872517,1.700318809776834
#aaq,0.24900398406374522,8.703506907545158
#aar,1.8725099601593596,5.600425079702446
#aas,6.344621513944219,1.2433581296493106
#aat,3.0478087649402297,5.940488841657812
#aau,2.808764940239039,7.385759829968119
#aav,6.593625498007963,1.6365568544102003
#aaw,6.9322709163346605,1.5940488841657805
#aax,1.5936254980079636,6.312433581296489
#aay,4.601593625498002,4.4420828905419745
#aaz,6.892430278884455,1.349628055260364
#aba,2.5099601593625476,4.760892667375135
#abb,6.264940239043821,1.349628055260364
#abc,3.017928286852593,3.623804463336878
#abd,5.378486055776888,1.732199787460151
#abe,3.9840637450199234,3.8469713071200804
#abf,6.245019920318726,2.1360255047821437
#abg,5.368525896414348,1.7428267800212538
#abh,2.091633466135454,5.334750265674815
#abi,5.876494023904378,1.8065887353878876
#abj,2.3804780876494047,4.729011689691818
#abk,6.404382470119519,1.349628055260364
#abl,6.374501992031869,1.3390010626992535
#abm,3.3167330677290847,5.409139213602552
#abn,3.0378486055776888,6.578108395324119
#abo,3.625498007968131,6.578108395324119
#abp,3.0976095617529897,5.738575982996808
#abq,2.8984063745019912,5.515409139213599
#abr,1.912350597609551,5.504782146652495
#abs,4.6215139442231115,4.463336875664188
#abt,2.958167330677292,6.524973432518594
#abu,3.2071713147410374,6.386822529224226
#abv,6.713147410358566,1.657810839532414
#abw,7.2111553784860565,0.3188097768331606
#abx,6.304780876494027,1.1477151965993602
#aby,7.480079681274897,0.3400637619553668
#abz,5.039840637450191,4.2614240170031845
#aca,4.611553784860557,2.3698193411264645
#acb,6.723107569721121,1.6365568544102003
#acc,3.9840637450199234,5.844845908607862
#acd,5.976095617529885,1.6153028692879943
#ace,5.976095617529885,1.4771519659936239
#acf,6.145418326693219,1.3708820403825703
#acg,6.603585657370519,1.137088204038257
#ach,6.922310756972106,1.6153028692879943
